property_type,places,currency,price_aprox_usd,surface_total_in_m2,price_usd_per_m2,latitude,longitude,has_garden
apartment,MiguelHidalgo,MXN,68229.0,70.0,974.7,19.445471,-99.17317,No
apartment,MiguelHidalgo,MXN,52440.6,70.0,749.2,19.443903,-99.171681,No
apartment,Coyoacan,MXN,58990.8,100.0,589.9,19.314831,-99.140445,No
house,Azcapotzalco,MXN,289775.7,310.0,934.8,19.464928,-99.180214,No
apartment,Coyoacan,MXN,62644.2,86.0,728.4,19.317741,-99.119331,No
house,AlvaroObregon,MXN,161220.6,200.0,806.1,19.367477,-99.222025,No
apartment,Coyoacan,MXN,107347.8,80.0,1341.8,19.305984,-99.127341,No
apartment,BenitoJuarez,MXN,76940.5,60.0,1282.3,19.365843,-99.149901,No
house,MiguelHidalgo,MXN,711267.5,591.0,1203.5,19.401079,-99.24807,No
house,Iztapalapa,MXN,188038.1,250.0,752.2,19.383751,-99.071318,No
apartment,MiguelHidalgo,USD,1673373.0,228.0,7339.4,19.407269,-99.190754,No
apartment,BenitoJuarez,MXN,79029.7,80.0,987.9,19.365843,-99.149901,No
apartment,BenitoJuarez,MXN,68597.8,90.0,762.2,19.399841,-99.154813,No
apartment,MiguelHidalgo,MXN,660401.9,247.0,2673.7,19.407269,-99.190754,No
apartment,BenitoJuarez,MXN,155425.1,73.0,2129.1,19.394073,-99.153915,No
house,Iztapalapa,MXN,61906.6,90.0,687.9,19.363498,-99.015615,No
apartment,Cuajimalpa,USD,775000.0,360.0,2152.8,19.35735,-99.299792,No
house,Tlalpan,MXN,342543.4,250.0,1370.2,19.3012112,-99.1290556,No
apartment,Azcapotzalco,MXN,55847.7,70.0,797.8,19.465454,-99.162665,No
apartment,Cuauhtemoc,MXN,156444.6,52.0,3008.6,19.405298,-99.164986,No
house,Coyoacan,MXN,210745.9,160.0,1317.2,19.3073868643,-99.104847014,No
apartment,BenitoJuarez,MXN,158059.4,90.0,1756.2,23.634501,-102.552788,No
apartment,AlvaroObregon,MXN,61864.5,69.0,896.6,19.334546,-99.207876,No
apartment,BenitoJuarez,MXN,158096.9,89.0,1776.4,19.371992,-99.157853,Yes
house,Tlalpan,MXN,249266.2,985.0,253.1,19.286214,-99.222026,No
house,Xochimilco,MXN,208111.6,113.0,1841.7,19.271181,-99.137314,No
apartment,Cuauhtemoc,MXN,151773.0,80.0,1897.2,19.4233932,-99.1682732,No
house,Cuajimalpa,MXN,2160658.1,700.0,3086.7,19.390415,-99.254997,No
apartment,BenitoJuarez,MXN,131905.5,69.0,1911.7,19.403312,-99.151204,No
apartment,AlvaroObregon,MXN,37039.9,70.0,529.1,19.376392,-99.192439,No
house,Iztacalco,MXN,126447.6,187.0,676.2,19.390301,-99.11161,No
house,Iztapalapa,MXN,135430.6,250.0,541.7,19.373264,-99.104161,No
apartment,VenustianoCarranza,MXN,41358.2,80.0,517.0,19.416439,-99.125632,No
house,Tlalpan,MXN,114593.1,150.0,764.0,19.271242,-99.160156,No
apartment,BenitoJuarez,MXN,91147.6,70.0,1302.1,19.401456,-99.146787,No
house,Coyoacan,MXN,19005.8,65.0,292.4,19.326115,-99.109844,No
apartment,Iztacalco,MXN,47376.4,54.0,877.3,19.4045899,-99.0601489,No
apartment,Cuauhtemoc,MXN,258225.0,84.0,3074.1,19.4169673,-99.1658498,No
apartment,MiguelHidalgo,MXN,197574.3,97.0,2036.8,19.400249,-99.177444,No
apartment,Cuauhtemoc,MXN,99530.0,62.0,1605.3,19.4553585442,-99.1632923484,No
apartment,Cuauhtemoc,MXN,79556.6,90.0,884.0,19.440749,-99.141649,No
apartment,Azcapotzalco,MXN,77141.8,90.0,857.1,19.484532,-99.207027,No
apartment,Iztacalco,MXN,44730.8,46.0,972.4,19.410307,-99.065399,No
apartment,BenitoJuarez,MXN,168596.7,97.0,1738.1,19.379376,-99.165182,No
apartment,BenitoJuarez,MXN,52686.5,98.0,537.6,19.389044,-99.179657,No
house,Tlalpan,MXN,212482.3,150.0,1416.5,19.274141,-99.166374,No
