,property_type,places,currency,price_aprox_usd,surface_total_in_m2,price_usd_per_m2,latitude,longitude,has_garden
13248,house,MiguelHidalgo,USD,2850000.0,510.0,5588.0,19.383823,-99.254311,No
13270,house,Cuajimalpa,USD,2100000.0,900.0,2333.0,19.390336,-99.249235,No
13277,apartment,Cuajimalpa,MXN,1001281.0,258.0,3881.0,19.390415,-99.254997,No
13279,apartment,MiguelHidalgo,USD,1150000.0,170.0,6765.0,19.43615,-99.190585,No
13293,apartment,Cuajimalpa,USD,2400000.0,512.0,4688.0,19.390415,-99.254997,No
13319,apartment,Cuajimalpa,MXN,1159378.0,500.0,2319.0,19.390415,-99.254997,No
13324,apartment,MiguelHidalgo,USD,1812957.0,297.0,6104.0,19.407269,-99.190754,Yes
13339,apartment,Cuajimalpa,MXN,1660018.0,335.0,4955.0,19.35735,-99.299792,No
13345,house,AlvaroObregon,MXN,2634324.0,2000.0,1317.0,19.317906,-99.218523,No
13377,apartment,MiguelHidalgo,USD,1500000.0,630.0,2381.0,19.401079,-99.24807,No
13390,house,MiguelHidalgo,USD,1600000.0,500.0,3200.0,19.4019262,-99.2311912,No
13392,apartment,Cuajimalpa,MXN,1570430.0,400.0,3926.0,19.346188,-99.257248,No
13421,house,Tlalpan,MXN,1132759.0,776.0,1460.0,19.300034,-99.195626,No
13426,house,MiguelHidalgo,USD,1050000.0,460.0,2283.0,19.401079,-99.24807,No
13428,apartment,MiguelHidalgo,USD,1420000.0,440.0,3227.0,19.407269,-99.190754,No
13470,house,AlvaroObregon,USD,1600000.0,525.0,3048.0,19.390806,-99.195413,Yes
13484,house,MiguelHidalgo,USD,2000000.0,488.0,4098.0,19.401079,-99.24807,No
13519,apartment,MiguelHidalgo,USD,1280661.0,251.0,5102.0,19.407269,-99.190754,Yes
13530,house,Cuajimalpa,MXN,1159378.0,884.0,1312.0,19.3920488,-99.2552314,No
13540,house,MiguelHidalgo,USD,1750000.0,650.0,2692.0,19.401079,-99.24807,No
13543,house,AlvaroObregon,MXN,1317162.0,900.0,1464.0,19.320576,-99.20929,No
13547,apartment,AlvaroObregon,USD,1700000.0,560.0,3036.0,19.364099,-99.26406,No
13548,apartment,MiguelHidalgo,MXN,1475571.0,570.0,2589.0,19.420166,-99.220367,No
13563,house,Cuajimalpa,MXN,1106679.0,555.0,1994.0,19.390415,-99.254997,No
13601,apartment,AlvaroObregon,USD,1250000.0,447.0,2796.0,19.390806,-99.195413,No
13608,apartment,MiguelHidalgo,USD,1551000.0,282.0,5500.0,19.407269,-99.190754,No
13616,house,AlvaroObregon,MXN,1001043.0,640.0,1564.0,19.320576,-99.20929,No
13623,house,MiguelHidalgo,MXN,1290819.0,2450.0,527.0,19.400524,-99.230064,Yes
13637,house,MiguelHidalgo,USD,3800000.0,985.0,3858.0,19.401079,-99.24807,Yes
13669,apartment,MiguelHidalgo,USD,1600000.0,353.0,4533.0,19.407269,-99.190754,No
13680,house,AlvaroObregon,MXN,1949862.0,1176.0,1658.0,19.346523,-99.191292,Yes
13694,house,MiguelHidalgo,MXN,1101409.0,760.0,1449.0,19.401079,-99.24807,Yes
13709,apartment,MiguelHidalgo,USD,1800000.0,250.0,7200.0,19.4282002,-99.1862648,No
13727,house,MiguelHidalgo,USD,3300000.0,2203.0,1498.0,19.401079,-99.24807,Yes
